GrLivArea,SalePrice
8,4247328744
9,4247282636
10,4246749053
11,4244487159
12,4244368275
13,4244243703
14,4244145140
15,4243174717
16,4241981057
17,4241914551
18,4239403192
19,4236782505
20,4236142587
21,4236023664
22,4235211937
23,4234053890
24,4233828212
25,4232999015
26,4230836223
27,4230334499
28,4230211547
29,4229351121
30,4229227509
31,4228458573
32,4227530167
33,4227386495
34,4227351515
35,4227270829
36,4225854799
37,4225747628
38,4225243022
39,4225149541
40,4225135639
41,4225069903
42,4224988597
43,4223949945
44,4222955290
45,4222847666
46,4222871985
47,4222795586
48,4221036135
49,4221002501
50,4220887749
51,4220821703
52,4218540056
53,4218372722
54,4217926044
55,4217930137
56,4217704098
57,4215288336
58,4215313840
59,4214936649
60,4214990276
61,4214795739
62,4214502370
63,4214366208
64,4214342462
65,4214305053
66,4213518003
67,4213560056
68,4213348633
69,4212001906
70,4211647338
71,4211663289
72,4211557534
73,4211531629
74,4208290383
75,4207880258
76,4207621421
77,4207470343
78,4207375263
79,4206999607
80,4207022923
81,4206979335
82,4206855391
83,4206773099
84,4206685219
85,4206648187
86,4205020118
87,4202556832
88,4202480304
89,4202430240
90,4202197510
91,4202091313
92,4201733179
93,4201550035
94,4201322308
95,4195801376
96,4195736607
97,4194020206
98,4193724086
99,4191808901
0,4240556832
1,4234828360
2,4234152893
3,4232833087
4,4232492751
5,4232325720
6,4232200699
7,4230293422
8,4230204841
9,4229975726
10,4229690351
11,4229333933
12,4229156551
13,4229089526
14,4229039003
15,4228918323
16,4227386495
17,4227351515
18,4227265183
19,4227225657
20,4227039396
21,4226447690
22,4225092910
23,4224735805
24,4224365577
25,4224296199
26,4222755273
27,4222632382
28,4222507497
29,4222366466
30,4222345215
31,4222147996
32,4221787789
33,4221061734
34,4220989311
35,4220993792
36,4219647531
37,4218098744
38,4217925443
39,4217514739
40,4217426781
41,4214820366
42,4214722078
43,4213217435
44,4213114636
45,4212996820
46,4212926342
47,4212910050
48,4211456836
49,4211388539
50,4211340894
51,4211171324
52,4208538182
53,4208432716
54,4208361338
55,4199076951
56,4198823030
57,4198723238
58,4198653024
59,4198258982
60,4198251409
61,4198195680
62,4198108435
63,4197477196
64,4197482867
65,4197438082
66,4197298850
67,4197206878
68,4197001233
69,4196944785
70,4196806348
71,4196794410
72,4196711196
73,4195948356
74,4195980347
75,4195357997
76,4195302594
77,4195231762
78,4193180728
79,4193142612
80,4193078156
81,4193093943
82,4192961725
83,4192873593
84,4192842630
85,4192750464
86,4192403857
87,4192172948
88,4192009784
89,4191943697
90,4191622283
91,4191584905
92,4191449513
93,4188832113
94,4185731652
95,4185481830
96,4185192265
97,4183590140
98,4183399715
99,4161258779
0,4255228631
1,4247234477
2,4239331479
3,4239182830
4,4238878723
5,4236105557
6,4235878601
7,4233011399
8,4232817070
9,4232673227
10,4229419728
11,4229351121
12,4229227509
13,4227351515
14,4225168424
15,4225171127
16,4225054326
17,4222847666
18,4222871985
19,4214795739
20,4211694057
21,4211647338
